bangla,chakma
আমি প্রিন্সিপাল আর সবার সাথে দেখা করেছি ।,মুই প্রিন্সিপাল আ আর বেক্কুন্নোই দেগা গুজ্জঙ ।
"আমি আপনাকে কিছু দেখাতে চাই , Mrs গাম্প ।","মুই তরে কিজু দেগেবার চাঙ , Mrs গ্যাম্প ।"
এটা হল নরমাল ।,ইয়ান নরমাল ।
আর ফরেস্ট হল ঠিক এখানে ।,আ ফরেস্সি অলদে ঠিক ইয়ত ।
"পাবলিক স্কুলে ভর্তির জন্য আমাদের কমসে কম ৮০% IQ দরকার , Mrs গাম্প ।","পাবলিক ইস্কুলত ভর্তি অবাত্তে আমার কমপক্ষ ৮০% iq দরকার ,mrs গাম্প ।"
"নরমালের মানেটা কি ? হতে পারে সে একটু ধীরগতির , কিন্ত আমার ছেলে ফরেস্ট একইরকম ।","নরমাল মানে হি ?ও পারে তে এক্কা আসতে , কিন্তু ম পোবু ফরেস্সি ইদিক্কন ।"
আমরা শুধুমাত্র ৫ পয়েন্ট নিয়ে কথা বলছি ।,আমি বানা ৫ পয়েন্ট অ কধা কুয়েদেই ।
কিছু না কিছু অবশ্যই করা যেতে পারে ।,কিজু না কিজু কামাক্কাই গুরি পারেই ।
"দেখুন , আমাদের প্রগতিশীল স্কুল সিস্টেম ।","সা ,আমা প্রগতিশীল স্কুল সিস্টেম ।"
আমরা কাউকে পিছনে ফেলে রাখতে চাইনা ।,আমি কাররে পিচ্ছিন্দি ফেলে রাগেবার নচেই ।
"Mr গাম্প কি আছেন , Mrs গাম্প ?",Mr গাম্পে আগে নাহি ?
সে ছুটিতে আছে ।,তে ছুটিত আগে ।
"তুমি অনেক কম কথা বল , তাই না ?",তুই কম কধা কস্সি ন'নে ?
"""শেষ পর্যন্ত তাকে চেষ্টা করতে হল ।",শেজ অয় সঙ তে চেষ্টা গুরি পিয়ে ।
"""দেখে সহজ মনে হচ্ছিল । কিন্ত ।",সাদে সহজ মনে উয়ি । কিন্তু
"""ওহ , কি হল ।","ওহ , কি উয়েদে ?"
"- ""প্রথমে ওখানে"" ।",ফাস্টে উবট ।
"- মা , ছুটিতে যাওয়া মানে কি ?",মা বন্ধত জানা মানে হি ?
আমাদের ঘর কখনোই খালি থাকতনা সবসময়ই মানুষরা আসা যাওয়া করত ।,আমা ঘরান কনদিন হালি নথেদ সবসময় মানুজ এজানা জানা গত্তাক ।
খাবার প্রস্তত ।,খানাদানা রেডি ।
- সবাই এসে পড়ুন ফরেস্ট ।,বেক্কুনি এজ ফরেস্ট ।
ফরেস্ট ! আমি তোমাকে বলেছিলাম যে এই ভালো মানুষটাকে বিরক্ত করবেনা ।,ফরেস্ট । মুই তরে হুয়ঙে এ গম মানুষসুরে বেজাল ন গুরিজ ।
আমি শুধু তাকে গিটারের দুই একটা জিনিস শেখাচ্ছিলাম ।,মুই বানা তারে গিটারর কয়েক্কান জিনিস শেগাঙ অত্তে ।
"হ্যা , খুব ভালো ।","অদে , বজমান গম ।"
"ধন্যবাদ , ma'am ।","ধন্যবাদ , ma'am ।"
"আরে দোস্ত , তুমি আমাকে ঐ ড্যান্সটা দেখাও যেটা তুমি একটু আগে করেছিলে ।","আরে দোস্ত ,তুই মরে ঐ নাচচান দেগা জিয়ান তুই একটু আগে গুজ্জজ ।"
আমার ঐ গিটারটা ভালো লেগেছিল ।,মর সে গিটারবু গম লাক্কিদে ।
এটা বাচ্চাদের দেখা উচিৎ নয় ।,ইয়ান গুরোউনর সানা উচিত নয় ।
আর তার হার্ট এটাক বা এরকম কিছু একটা হয়েছিল ।,তার হার্ট এটাক বা সিদিক্কন কিজু উয়েদে আই ।
মনে হয় king হওয়াটা অনেক কষ্টের ।,মনে অদি রাজা অনা বজমান কষ্ট অব ।
"কি আজব তাই না , কিছু কথা আপনার মনে থাকে আর কিছু মনে থাকেনা ।","কি আজব ওনে ,কয়েক্কান কধা তর মনত থায় আর কয়েক্কান কধা মনত ন থায় ।"
"- তুমি মন দিয়ে পড়বে বুঝেছ , ফরেস্ট ।","মন দিনেই পুরিজ বুজু , ফরেস্ট ?"
আমার প্রথম দিনের স্কুলের বাসে চড়াটা ভালো করে মনে আছে ।,মর ইস্কুল ফাস্ট দিনত গাড়িত চক্কানাগান গমেদালে মনত আগে ।
তুমি আসছনা কেন ?,তুই হিত্তেই নয়েজত্তে ?
মা বলেছে অচেনা লোকের গাড়িতে উঠবেনা ।,মামা কুয়েদে অচেনা মানঝি গাড়িত নউদিবাত্তে ।
আমি ফরেস্ট ।,মুই ফরেস্ট ।
ফরেস্ট গাম্প ।,ফরেস্ট গাম্প ।
- আমি ডরোথি হ্যারিস ।,মুই ডরোথি হ্যারিস ।
এই সিট খালি নয় ।,এ সিটটান খালি নেই ।
এখানে কেউ আছে !,ইয়ত কনজনে আগন ।
তুমি এখানে বসতে পারবেনা ।,তুই ইয়ত বুঝি নপারিবি ।
তুমি চাইলে এখানে বসতে পার ।,তুই চেলে ইয়ত বুজি পারজ ।
আমি আমার জীবনে এত সুন্দর মেয়ে দেখিনি ।,মুই ম জিবনত এম্বা দোল মিলি নদেগঙ ।
সে পরীর মতো ছিল ।,তে পুরি দুক্কিন ।
"তুমি কি বসবে , নাকি বসবেনা ?",তুই বুঝিবি না নবুঝিবি ?
তোমার পায়ে কি হয়েছে ?,ত তেঙানত কি উয়েদে ।
"কিছুই না , ধন্যবাদ আমার পা একদম ঠিক আছে ।","কিচ্ছু নয় , ধন্যবাদ ম টেঙ আন গম আগে ।"
প্রশ্নবোধক চিহ্নের মতো আমার পিঠ বাঁকা ।,প্রশ্নবোধক চিহ্ন দুক্কিন ম পিঠটান বেঙা ।
তুমি বোকা নাকি অন্য কিছু ?,তুই কি ভুল না অন্য কিজু ?
- আমি জেনি - আমি ফরেস্ট ।,মুই জেনি -মুই ফরেস্ট ।
ফরেস্ট গাম্প ঐদিন থেকে আমরা সবসময় এক থাকতাম ।,ফরেস্ট গাম্প সিদিন্নিত্তুন দুরি আমি এক লগে থেদঙ ।
জেনি আর আমি ঠিক ডাল এবং গাজরের মতো ।,জেনিল্লোই মুই ডেল আ গাজর অ দুক্কিন ।
সে আমাকে গাছে উঠা শিখিয়েছে ।,তে মরে গাজত উদানা সেগিয়েদে ।
"আসো ফরেস্ট , তুমি এটা করতে পারবে ।",আয় আয় ফরেস্ট তুই ইয়ান গুরি পারিবিদে ।
মাঝে মাঝে আমরা মাঠে বসে তাঁরার জন্য অপেক্ষা করতাম ।,মাঝে মাঝে আমি মাদত বুজিনেইতারা উনরে বাস্সে থেদঙ ।
- মা আমার জন্য চিন্তা করবে ।,মামা মল্লাই চিদি গুরিবু ।
"ঠিক আছে , জেনি , আমি থাকব ।","ঠিগ আগে , জেনি , মুই থেম ।"
সে আমার সবচেয়ে ভালো বন্ধু ছিল ।,তে মর সবচেয়ে গম সমাজ্জি এলহ্ ।
আমার একমাত্র বন্ধু ।,মর ইগ্গুয়ুরি সমাজ্ঝি ।
"মা বলত , প্রতিদিনই আশ্চর্যজনক কিছু না কিছু হয় ।",মামা কদ দিম্মানে আশ্চর্যজনক কিজু না কিজু অয় ।
"Hey , ডামি !","ওই ,ডামি ।"
"তুই কি প্রতিবন্ধী , নাকি শুধু বোকা ?","তুই কি প্রতিবন্ধী , , ,নাহি বানা ভুল ।"
"- ""আমি ফরেস্ট গাম্প"" ।",মুই ফরেস্ট গাম্প ।
"দৌড়াও , ফরেস্ট !","দাবাদে , ফরেস্ট ।"
দৌড়াও ! জলদি !,জাদি । দাবাদে ।
- সাইকেল নাও !,সাইকেলয়ান ল ।
- জলদি করো !,-জাদি গর ।
"তাকে ধরব ! - আসো ! - দেখ , ডামি , আমরা আসছি !","তারে দুরিবঙ । এজ । চ , ডামি ,আমি ইজির ।"
আমরা তোকে ধরতে আসছি !,আমি তরে দুরিবাত্তে ইচ্ছিদেয় ।
"দৌড়াও , ফরেস্ট , দৌড়াও !","দাবাদে ,ফরেস্ট ,দাবাদে ।"
ফিরে আয় !,ফিরি আয় ।
"দৌড়াও , ফরেস্ট !","দাবাদে , ফরেস্ট ।"
"আপনি বিশ্বাস করেবননা , যদি আমি বলি যে , আমি বাতাসের চেয়ে দ্রুত বেগে দৌড়াতে পারি ।","তুই বিশ্বস ন জেেবে , যদি মুই হঙ , মুই বুয়ার অত্তুন বেজ জুরে দাবা দি পারঙ ।"
সে নিশ্চয়ই কোন মুর্খ ছেলে ।,তে নিশ্চয় কন মুর্খ পো ।
জেনি ?,জেনি ?
সে সবসময় তার বোনকে চুমো দিত ।,তে সবসময় তা বোন্নুরে চুমি দু ।
বাবা ঘুমাচ্ছেন ।,বাবা ঘুম জার ।
- জেনি ! - চল !,জেনি । জেই ।
"জেনি , তুমি পালিয়ে কোথায় যাবে ?","জেনি ,তুই কুদু দে জেবে ?"
ভালো হবে যদি তুমি ফিরে আসো !,তুই ফিরি এলে গম অব ।
তুমি কোথায় ?,তুই হুদু ?
!জেনি জেনি ।,জেনি জেনি ।
জেনি !,জেনি
"আমার সাথে প্রার্থনা কর , ফরেস্ট ।","ম লগে প্রার্থনা গর , ফরেস্ট ।"
কিন্ত ভয় কিসের থেকে । আমি জানতামনা ।,হিত্তেয় দরাস্সি । মুই হবর নপেদুঙ ।
"যাইহোক , আমি আর জেনি অনেক ভালো বন্ধু ছিলাম হাই স্কুলে উঠার পরও ।","যাইহোক ,মুই আ জেনি অনেক গম বন্ধু এলঙ হাই ইস্কুলত উদানার পরউ ।"
"- Hey , গাধা !","ওই ,গাধা ।"
- সরে যাও !,সরে যাও ।
"- দৌড়াও , ফরেস্ট , দৌড়াও !","দাবাদে ,ফরেস্ট , দাবাদে ।"
- আসো ট্রাকে উঠ ! ট্রাকে উঠ !,আয় ট্রাগত উত্তি ।ট্রাগত উত্তি ।
চল ওকে ধরি !,জেই তারে দুরিগোই ।
জলদি করো !,জাদি গর ।
"দৌড়াও , ফরেস্ট !","দাবাদে ,ফরেস্ট ।"
"দৌড়াও , ফরেস্ট !","দাবাদে ,ফরেস্ট ।"
ব্যাপারটা এমন ছিলে যে । আমি কোথাও গেলে দৌড়িয়ে যেতাম ।,ব্যাপারান এমন উয়ে । মুই হনহিত্তে জেলে দাবাদিদি জেদুঙ ।
আমি কখনো ভাবিনি যে আমি এভাবে কোথাও যেতে পারব ।,মুই কনদিন নভাবঙ মুই ইক্কিন গুরি হন হিত্তে জেম ।
- এই বদমাইশটা কে ?,এ বদমাস্সু কন্না ?
"- ও ফরেস্ট গাম্প , কোচ ।","তে ফরেস্ট গাম্প , কোচ ।"
আপনি কি বিশ্বাস করবেন ? আমি কলেজেও চলে গিয়েছি ।,তুই কি বিশ্বসে যেবপ ?মুই কলেজতউ জিয়ঙ ।
ফরেস্ট !,ফরেস্ট
ফরেস্ট !,ফরেস্ট
দৌড়াও !,দাবাদে ।
সরকারি সেনারা আজ একটা মামলা দায়ের করেছে ।,সরকারি সেনাউন ইস্সি এক্কান মামলা দায়ের গুজ্জন ।
"আর্ল , কি হচ্ছে এখানে ?",আর্ল কি অত্তে ইয়ত ।
মা ঝাড়ু দিয়ে বের করে দেয় ।,মামা ঝাড়ু দিনেই বাহিড় গুরি দিদে ।
আমাদের সাথে ?,আমা লগে ?
"তারা আমাদের সীমার ভিতরে থাকে , আর তারা সবাই আমাদের ভাই ।","তারা আমা সীমানা বিদিরি থান্নে ,আ তারা বেক্কুন আমা ভেই ।"
"Ma'am , আপনার বই পরে গিয়েছে ।","ম্যাডাম , ত বইবু পুজ্জি ।"
ওটা কি গাম্প ছিল ?,সিবিহি গাম্প এলদে নাহি ?
আমার বাস এসে গিয়েছে ।,আমা বাসসান লুম্মিগি ।
- এটা কি ৯ নাম্বার ?,ইবি হি৯ নম্বর নাহি ?
"- না , এটা ৪ নাম্বার ।","নাদে , ইবি ৪ নম্বর ।"
আমি কলেজে ছিলাম আপনি কি গার্লস কলেজে ছিলেন ।,মুই কলেজত এলুঙ তুই কি গার্লস কলেজত এলেদে নাহি ?
নাকি গার্লস এন্ড বয়েজ কলেজে ছিলেন ?,নাহি গার্লস এনৃড বয়েজ কলেজত এলেদে ।
"- ফরেস্ট , থামো !","ফরেস্ট , থাম ।"
থামো ! - জিসাস !,থাম ! - জিসাস ।
তুমি কি করছ ? - সে তোমাকে ব্যথা দিচ্ছিল ।,তুই হি গুজ্জজ ? তে তরে কষ্ট দেত্তে ।
"- কি হচ্ছে এখানে ? - না , সে দিচ্ছিলনা !",কি অত্তে ইয়ত ?না তে নদেত্তে ।
যাও এখান থেকে !,ইত্তুন জাগোই ।
- যাও এখানে থেকে !,ইত্তুন জাগোই ।
- না ।,না ।
"- যেওনা ! বিলি , দাড়াও !","নজেজ । বিলি ,দাড়া ।"
- চলে যাও আমার থেকে ।,মত্তুন জাগোই ।
"ফরেস্ট , তুমি এটা কি করলে ?","ফরেস্ট ,তুই ইয়ান হি গুরিলি ?"
আমি তোমার জন্য চকোলেট এনেছিলাম ।,মুই তল্লাই চকলেট আন্নুঙ ।
- আমি এখন আমার কলেজে ফিরে যাচ্ছি ।,মুই ইক্কি আমা কলেজত ফেরত জাঙ অল্লোই ।
নিজেকে একটু দেখ ।,নিজরে এক্কা চা ।
আসো ।,আয় ।
- এটা কি তোমার রুম ?,ইবি নাহি ত রুম্মু ?
আমি কি হব না ?,মুই হি নয়ম্মে ?
আমি বিখ্যাত হতে চাই ।,মুই বিখ্যাত অবার চাং ।
আমি চাই আমি সবার সাথে কথা বলি ।,মই চাঙে মুই বেক্কুন্নোই কধা হঙ ।
"তুমি কখনো কোন মেয়ের সাথে থেকেছ , ফরেস্ট ?","তই কনদিন কন মিলিল্লোই রুয়জ , ফরেস্ট ?"
- আমি ।,মুই ।
ব্যাপার না ।,ব্যাপার না ।
- ব্যাপার না ।,ব্যাপার না ।
- আমার মাথা ঘুরছে ।,মর মাদা গুরার ।
এটা কখনো ঘরে নিশ্চয়ই হয়নি ।,ইয়ান কনদিন ঘরত নঅব ।
মনে হয় আমি তোমার রুমমেটের বাথরুম নষ্ট করে ফেলেছি ।,মনে হয় মুই ত রুমমেদ বথরুম্মু নষ্ট গুরিদুঙ ।
এমনিতেও আমি তাকে পছন্দ করিনা দৌড়াও ! দৌড়াও !,এমনিতেও মুই তারে গম নপাঙ । দাবাদে দাবাদে ।
"অনেক ভালো , স্যার ।",বজমান গম স্যার ।
আমার মনে হয় তার বাথরুমে যেতে হবে ।,মর মনে অত্তে তার বাথরুমত যা পুরিবু ।
"দাও , এটা আমি ধরি ।",দে ইয়ান মুই ধরঙ ।
চুপচাপ বাসে উঠ পর ।,জুরো গুরি গাড়িত উঠ ।
তুমি এখন আর্মিতে এসেছ !,তুই ইক্কি আর্মিত ইস্সুসচি ।
এই সিট খালি নেই ।,এ সিটটান খালি নেই ।
তুমি চাইলে বসতে পার ।,তুই চেলে বুজি পারজ ।
তুমি কি কখনো কোন মাছ ধরার নৌকায় চড়েছ ?,তুই হি হনদিন মাজ ধরন্ন নৌকাত চক্কেউজ ?
"না , কিন্ত আমি অনেক বড় এক নৌকায় চড়েছি ।","নাদে ,কিন্তু মুই বড় নৌকোত চক্কেউঙ ।"
আমি তো চিংড়ি মাছ ধরার নৌকার কথা বলছিলাম ।,মুই দ চিংড়ি মাজ দুরিবার নৌকো আন কধা হুয়ঙে ।
আমি সারা জীবন মাছ ধরার নৌকায় কাটিয়েছি ।,মুই গদা জীবনান মাছ ধরন্ন নৌকোত কাদেউঙে ।
আমার নাম বেঞ্জামিন বাফর্ড ব্লু ।,ম নাঙান বেঞ্জামিন বাফর্ড ব্লু ।
মানুষ আমাকে বাব্বা বলে ডাকে ।,মানজি মরে বা বা ডাগন্দে ।
আমার নাম ফরেস্ট গাম্প মানুষ আমাকে ফরেস্ট গাম্প ডাকে ।,ম নামান ফরেস্ট গাম্প মানুস্সুন মরে ফরেস্ট গাম দাগন ।
"যা আপনি করতে বলবেন , ড্রিল সার্জেন্ট !","তুই জা গুরিবাল্লে হজ , ড্রিল সার্জেন্ট ।"
তুমি অনেক বড় জিনিয়াস !,তুই বঝমান চালাক ।
আমার শোনা সবচেয়ে ভালো উত্তর এটা ।,মর শুনা বেগত্তুন গম উত্তর ইয়ান ।
বোঝানো গিয়েছে ?,বোঝে পাজ্জুঙ ?
"তুমি একদিন জেনারেল হবে , গাম্প ।","তুই একদিন জেনারেল অবে , গাম্প ।"
এইতো ।,এইদ ।
আর্মিতে রাতেরবেলা অনেক একা একা লাগে ।,আর্মিত রেদোত গায় গায় লাগেদে ।
"তার জন্য করতালি দিন , বন্ধুরা ।","তাল্লাই আততালি দু , সমারলক ।"
তার স্বপ্ন পূরণ হল ।,তার সবনান পূরন উয়ি ।
- ধেত্তেরি !,থোত্তেরি ।
- Hey ! Hey !,"ওই ,ওই ।"
নির্বোধ গাধা !,নির্বোধ গাধা
"- চুপ থাক , তুমি ! - লজ্জা পেয়না , জান ।","জুরো গুরি থাক । নলাজেজ ,জান ।"
"ফরেস্ট , তুমি এখানে কি করছ ?","ফরেস্ট ,তুই ইয়ত কি গরত্তে ।"
- তুমি কি করছ ?,তুই কি গরত্তে ।
"হ্যা , মনে আছে ।","অদে ,মনত আগে ।"
"তোমার কি মনে হয় , আমি কি এই ব্রিজ থেকে উড়তে পারব ?","তর কি মনে অয় , মুই কি এই ব্রিজসুত্তুন উড়ি পারিম ?"
"তুমি কি বলতে চাচ্ছ , জেনি ?","তুই কি হবার সত্তে , জেনি ?"
কিছু না ।,কিচ্ছু নই ।
আমাকে এখানে থেকে যেতে হবে ।,মর ইত্তুন যা পুরিবুগোই ।
দাড়াও । জেনি ।,সিয়ত থাক । জেনি ।
"তুমি দুরে থাক আমার থেকে , প্লিজ ।",তুই মত্তুন দুরোত থাক প্লিজ ।
আমি কি যেতে পারব ?,মুই কি যে পারিম ?
- কোথায় যাবে ?,হুদু যেবে ?
- জানিনা ট্রাকে উঠ ।,হবর নপাঙ ট্রাগত উঠ ।
তারা আমাকে ভিয়েতনাম পাঠাচ্ছে ।,তারা মরে ভিয়েতনামত পাদাদন্নে ।
এটা পুরোপুরি ভিন্ন দেশ ।,ইয়ান পুরোপুরি আলাদা এক্কান দেজ ।
এক মিনিট দাড়াও ।,এক মিনিট দাড়া ।
"শুন , তুমি আমাকে একটা ওয়াদা দিবে , ঠিক আছে ?","তুই মরে এক্কান কদা দিবি , ঠিক আগে ?"
"যখন তুমি কোন বিপদে পড়বে , বাহাদুর হবার চেষ্টা করবেনা ।","যেক্কে তুই কন বিপদত পুরিবি ,বাহাদুর অবার চেষ্টা নগুরিজ ।"
"শুধু দৌড়াবে , বুঝেছ ? শুধু পালিয়ে যাবে ।","বানা দাবাদিবিদে ,বুজসচ ?বানা দে যেবেদে ।"
আমি সবসময় তোমাকে চিঠি চিব ।,মুই সবসময় তরে চিদি দিম ।
"আর এমন করেই , সে চলে গেল ।",ইদুক্কি গুরি তে জিয়েগোই ।
"আমার কাছে নিরাপদে ফিরে আসবে , তুমি শুনেছ ?","ম ইদুু গমেদালে ফিরি এব ,তুই শুননজ ?"
তারা আমাদের বলেছিল যে ভিয়েতনাম ।,তারা মরে হুয়ন্নে ভিয়েতনাম ।
আমেরিকা থেকে অনেক ভিন্ন হবে ।,আমেরিকাত্তুন বজমান আলাদা অব ।
"শুধু মদের বোতল আর বারবিকিউ বাদে , সেগুলো একই ছিল ।","বানা মদ বদল আ বারবিকিউ বাদে ,সিয়ুন এক্কুই এলাক ।"
আমার মনে হয় আমরা পুর্ব দিকে গেলে চিংড়ি পাবো ।,মর মনে অত্তে আমি পুগেদি গেলে ইজে পেবং ।
কোনদিক থেকে ?,হুন্দি ?
ওইখানে !,উনদি !
"চিংড়ি ওখানে আছে ! - যাও , গিয়ে নৌকা ঘোরাও !","ইজে ইয়ুত আগন ! -যা , যেনে নৌয়ান ঘুড়া !"
"গাম্প , তুমি কি করছ ?","গাম্প ,তুই হি গরত্তে ?"
বাদিকে ঘোরাও !,বাঙেন্দি ঘুড়া !
আমরা ওখানেই চিংড়ি পাবো !,আমি উবুত ইজে পেবং !
আমরা চিংড়ি খুজে পাবো ।,আমি ইজে তোগে পেবং ।
"এখনো কোন চিংড়ি পেলাম না , লেফটেন্যান্ট ড্যান ।","এব দ হোনো ইজে নপাং ,লেফটেন্যান্ট ড্যান ।"
"আচ্ছা , তাহলে আমি ভুল ছিলাম ।","অ ,সালেন মুই ভুল এলুংগি ।"
"আমরা কিভাবে খুজে পাবো তাহলে ? মনে হয় , তার জন্য তোমার প্রার্থনা করা উচিৎ ।","সালেন আমি হেনে তোগে পেবং ?মনে অত্তে ,তর সিয়ানোত্তে বর মাগানা দরকার ।"
তো আমি প্রত্যেক রবিবার চার্চে যেতাম ।,মুই দ পত্তি রবিবারত চার্চ অত যেদুং ।
"মাঝে মাঝে লেফটেন্যান্ট ড্যানও আসত , মনে হয় তিনি প্রার্থনার কাজটা আমার উপরেই ছেড়ে দিয়েছেন ।","মাঝে মাঝে লেফটেন্যান্ট ড্যানেয়ু এদ ,মনে অত্তে তে তবনা গরানা হামান ম উগুরি ইরি দি ।"
কোন চিংড়ি নেই ।,হোনো ইজে নেই ।
তোমার খোদা কোথায় গেল ?,ত গোজেন্নু হুদু গেল ?
"খুবই আজব কারন লেফটেন্যান্ট এটা বলার পরই , খোদা তার রুপ দেখালেন ।","পুরো আমক অবার হারন লেফটেন্যান্ট উ সিয়ান হুয়েয়ু ,গোজেন্নু তা রুপ আন দেগেয়ে ।"
তুমি এই নৌকা ডুবাতে পারবেনা !,তুই এ নৌআন ডুবে নপারিবি !
"আমি ভয় পেয়ে গিয়েছিলাম , কিন্ত লেফটেন্যন্ট ড্যান , পুরো পাগল হয়ে গিয়েছে ।","মুই দরেয়ুং ,হালিক লেফটেন্যান্ট ড্যান ,পুরো পাগল উয়ি ।"
আসো !,আই !
তুমি এটাকে ঝড় বল ?,তুই ইয়ানরে ঝড় হজচি ?
দূর হয়ে যাও ঝড় !,দুরত যাগোই ঝড়ান !
তোমার আর আমার !,তর আর মর !
আমি এখানে আছি !,মুই ইয়ুত আগং !
তুমি এই নৌকাকে ডুবাতে পারবেনা !,তুই নৌয়ান ডুবে নপারিবি !
"তার আশেপাশে সবকিছুই ধ্বংস করে গিয়েছে আর এরকম উপর নিচ সবজায়গায় হয়েছে , বায়ো লা বাত্রার এই শ্রিম্পিং ইন্ড্রাস্ট্রি ।","তা হুরে হারে বেক্কানি সেজ গুরি যিয়ি আর ইয়ান্নি উগুরি তলে বেক জাগানিত উয়ে ,বায়ো লা বাত্রার এই শ্রিম্পিং ইন্ড্রাস্ট্রি ।"
"স্থানীয় মানুষদের সাথে কথা বলে জানা গিয়েছে , আসলে এই এলাকার শুধুমাত্র একটা নৌকা এই তুফান থেকে বাচতে পেরেছে ।","স্থানীয় মানুজ্জুন্নয় হদা হনে হবর পা গেলদে ,আজলে এই আদামর এক্কান নৌ এই ঝড়ানত বাজেপাচ্চুন ।"
আর মানুষদের যখন চিংড়ি দরকার রান্না করার জন্য আর বারবিকিউ করার জন্য । আর আমাদের নৌকাই একমাত্র কাজ করতে পারত ।,আর মানুচ্চুনোর জক্কে রানিবাত্তে ইজে লাগিবু আর বারবিকিউ গুরিবাত্তে ।আর বানা আমা নৌআন হাম গুরি পারিদু ।
বাব্বা-গাম্প শ্রিম্পস থেকে তারা চিংড়ি পেত ।,বাব্বা-গাম্প শ্রিম্পসত্তুন তারা ইজে পেদাক ।
আমরা অনেকগুলো নৌকা কিনেছি । ১২ টি জেনি ।,আমি ভালাক্কানি নৌ হিন্নেয় ।১২ বু জেনি ।
আর অনেক বড় এক গুদাম সেখানে লেখা আছে বাব্বা-গাম্প ।,আর বহুদ দাঙর এক্কু গুদম সিয়ত লেগা আগে বাব্বা-গাম্প ।
বাব্বা-গাম্প শ্রিম্পস ।,বাব্বা-গাম্প শ্রিম্পস ।
"এক মিনিট , বাবা তুমি কি বলছ যে তুমি বাব্বা-গাম্প শ্রিম্প কর্পোরেশনের মালিক ?","এক মিনিট ,বাবা তুই হি হত্তে যে তুই বাব্বা-গাম্প শ্রিম্প কর্পোরেশনো মালিক"
"হ্যা , স্যার ।","অদে ,স্যার ।"
আমরা এক কোটিপতির সাথে বসে ছিলাম ।,আমি এক্কু কোটিপতি লগে বয় এলং ।
আপনি লেফটেন্যান্ট ড্যানকে দেখবেন ?,তুই লেফটেন্যান্ট ড্যান অরে সেবে ?
এইতো সে ।,ইবি দ তে ।
আমার জীবন বাঁচানোর জন্য আমি কখনো তোমাকে ধন্যবাদ জানাইনি ।,ম পরানান বাজেবাত্তে মুই তরে হোনোদিন এঙ্কুর নজানাং ।
বেস টু জেনি ওয়ান ।,বেস টু জেনি ওয়ান ।
বেস টু জেনি ১ - জেনি ওয়ান ।,বেস টু জেনি ১ - জেনি ওয়ান ।
"শুনছি , মার্গো ।","শুনোর ,মার্গো ।"
ফরেস্টের জন্য একটা ফোন এসেছে বলে দাও তাকে আবার ফোন করতে ।,ফরেস্টত্তে এক্কু ফোন এচ্চি হয়দে তারে আরো ফোন দিদু ।
তার মা অসুস্থ ।,তাম্মা অসুখ ।
মা কোথায় ?,মা হুদু ?
"ওহে , ফরেস্ট ।","ওই ,ফরেস্ট ।"
আমি কাল তোমার সাথে দেখা করব ।,মুই হিল্লি তর লগে দেগা গুরিম ।
"আমি তোমাকে সোজা করে দিলাম , তাই না ?","মুই তরে উজু গুরি দিলুং ,ওনি ?"
"কি হল , মা ?","হি অল ,মা ?"
"আমি মারা যাচ্ছি , ফরেস্ট ।","মুই মরঙর ,ফরেস্ট ।"
আসো এখানে বস ।,আই এউত বজ ।
"তুমি কেন মারা যাচ্ছ , মা ?","তুই হিত্তে মরত্তে ,মা ?"
আমার সময় এসে গেছে ।,ম সময় এই যিয়ি ।
"তুমি ভয় পেয়না , সোনা ।","তুই নদরেজ ,পরান ।"
মরে যাওয়াটাও জীবনের একটা অংশ ।,মরি জানাআন জিংহানির এক্কান ভাগ ।
এটা আমাদের সবার ভাগ্যে আছে ।,ইয়ান আমার বেক্কুনো ভাগ্যেত আগে ।
"আমি জানতামনা , তোমার মা হওয়া আমার ভাগ্যে ছিল ।","মুই হবর নপেদুং ,ত মা অনা মর ভাগ্য এল ।"
খোদা তোমাকে যা দিয়েছে তার থেকেও ভালো করতে হবে তোমাকে ।,গজেন্নু তরে যা দি সিত্তুন গম গরা পরিবু তর ।
"আমার ভাগ্য কি , মা ?","মর ভাগ্য হি ,মা ?"
তোমার এটা নিজেই জেনে নিতে হবে ।,তর ইয়ান নিজরই জানি লয় পরিবু ।
"জীবন একটা চকোলেটের বাক্স , ফরেস্ট ।","জিংহানি এক্কু চকোলেট অ বাক্স ,ফরেস্ট ।"
তুমি জাননা তুমি কি পাবে মা আমাকে এমন করে কথা বোঝাত যে আমি সেটা বুঝে যেতাম ।,তুই হবর নপাজ তুই হি পেবে মা এক্কিন গুরি হদা বুজেদ যে মুই সিয়ান বুঝি পারিলুংউন ।
তার ক্যান্সার হয়েছিল আর সে মঙ্গলবার মারা গিয়েছে ।,তার ক্যান্সার উয়ি আর তে মঙ্গলবারে মরি যিয়ি ।
আমি মার জন্য একটা নতুন হ্যাট কিনেছি ওটাতে ছোট একটা ফুল ছিল ।,মুই মাত্তে এক্কু নৌ হ্যাট হিন্নুং সিউত সিগন এক্কু ফুল এল ।
ঐ ব্যাপারে আমার শুধু এটাই বলার ছিল ।,সিয়ানো ব্যাপারে মর বানা ইয়ান হবার এলদে ।
আপনি বলেছিলেন যে আপনি ৭ নাম্বার বাসের অপেক্ষায় ছিলেন ?,তুই হুয়ুচ্চি যে তুই ৭ নাম্বার বাস আনত্তে বাচ্চে এলে ?
আরো বাস এসে যাবে বাবা ।,আরো বাস এই যেবো বাবা ।
